node,in_degree,out_degree,pagerank
6382,4.0,2.0,0.0004203797392941285
5126,4.0,1.0,0.00041912080439553254
1423,2.0,2.0,0.0004188828397018822
4747,5.0,6.0,0.0004182004942645016
1009,3.0,1.0,0.00041663758603384507
1999,2.0,2.0,0.0004164977080051029
2135,3.0,5.0,0.0004162185553447817
2705,2.0,7.0,0.0004151518862912292
2471,5.0,3.0,0.0004151204612651236
1417,5.0,2.0,0.00041487963538992237
4068,2.0,1.0,0.0004144556701328821
2197,12.0,3.0,0.0004139716901136861
5584,3.0,2.0,0.00041343841415757154
3208,6.0,5.0,0.00041339043706424604
2227,7.0,33.0,0.0004130220915444016
4063,3.0,3.0,0.0004128462902638627
3172,4.0,5.0,0.00041275905550251096
3846,12.0,7.0,0.00041254485311958283
1035,4.0,2.0,0.00041238304619992946
4681,3.0,2.0,0.00041224854081163917
676,5.0,0.0,0.0004121954073504413
2212,2.0,1.0,0.00041161336630654805
4852,3.0,1.0,0.00041121760642457415
575,5.0,4.0,0.00041079264160731116
4983,2.0,2.0,0.00041003544921375056
3113,4.0,3.0,0.0004099759373848168
4405,2.0,1.0,0.00040942181850972135
6657,5.0,3.0,0.0004084151045328495
1443,9.0,13.0,0.0004077157328235158
3855,14.0,14.0,0.00040736092662184756
2712,2.0,1.0,0.00040733695529394427
4188,2.0,2.0,0.0004072341035822106
336,5.0,1.0,0.0004069399419043953
5025,2.0,3.0,0.00040693549091569913
2505,2.0,5.0,0.0004067742592747047
2806,1.0,1.0,0.00040661854445419064
3708,2.0,1.0,0.0004064298108922198
6517,4.0,1.0,0.00040624906373887515
3677,5.0,0.0,0.0004060750023185255
4612,14.0,11.0,0.00040585417512952
3702,3.0,4.0,0.00040539769514751317
5110,3.0,2.0,0.0004053253643405312
6534,2.0,1.0,0.0004051922047734042
4859,1.0,1.0,0.0004041982493352169
2354,5.0,2.0,0.000402875923860901
2288,7.0,5.0,0.0004024952455686543
3715,5.0,3.0,0.00040081021128774525
5399,3.0,3.0,0.00040068120597121926
3569,2.0,3.0,0.0004002339331947517
4274,7.0,4.0,0.0003997174749075766
1805,6.0,3.0,0.0003990246557510265
5187,5.0,10.0,0.0003988788506874905
2316,6.0,2.0,0.00039886664785819835
1747,6.0,2.0,0.00039872531305747193
2934,9.0,17.0,0.0003987003189987785
515,2.0,1.0,0.0003984860085410564
4312,5.0,1.0,0.0003979785465943395
5183,2.0,1.0,0.00039768344660724676
6214,5.0,4.0,0.00039697435161093733
1758,3.0,3.0,0.0003960632303368362
6030,9.0,2.0,0.00039560897256442915
5196,2.0,2.0,0.00039496033270122136
3705,1.0,1.0,0.00039480619642996543
5961,8.0,2.0,0.00039466916597866164
2809,3.0,1.0,0.0003944435533948691
3646,2.0,1.0,0.0003941865798396375
3618,3.0,1.0,0.0003939571669898831
5849,2.0,2.0,0.0003936730035360617
1409,4.0,1.0,0.0003931263057913886
2314,4.0,5.0,0.00039240058092877486
2612,6.0,3.0,0.0003919292987883479
4713,3.0,3.0,0.0003918511037189584
4228,6.0,10.0,0.00039139524561569364
2885,4.0,2.0,0.0003913907983580672
6423,2.0,3.0,0.00039120591297798395
5198,2.0,2.0,0.0003910431452399454
3302,5.0,3.0,0.00039089597831700547
5680,3.0,3.0,0.00039079137749757745
5504,3.0,2.0,0.0003905386298280902
3289,4.0,6.0,0.00038988372344481175
3772,9.0,6.0,0.00038898507543751876
1701,14.0,9.0,0.0003889091071999116
524,1.0,2.0,0.00038874910986813106
4275,3.0,2.0,0.0003887231163852814
3807,2.0,1.0,0.0003878811559508344
2708,2.0,1.0,0.0003878811559508344
816,3.0,1.0,0.0003878811559508344
3643,1.0,1.0,0.0003878537943118581
479,6.0,1.0,0.00038684248337962217
1446,6.0,6.0,0.000386466740970167
6610,8.0,5.0,0.0003856330768756152
5339,6.0,4.0,0.00038549946407612424
1896,8.0,5.0,0.0003851159513215389
5077,4.0,1.0,0.0003847549706796648
4324,1.0,2.0,0.0003847238396255828
5300,3.0,2.0,0.0003846519260768613
5197,2.0,2.0,0.0003843708585139512
4400,6.0,5.0,0.00038436843091464165
5579,2.0,2.0,0.0003842852459202749
5489,2.0,2.0,0.00038402733812094487
789,9.0,0.0,0.0003830578964612643
2609,3.0,3.0,0.0003828715585313664
815,1.0,1.0,0.0003826166381338164
3814,1.0,1.0,0.0003826166381338164
2707,1.0,1.0,0.0003826166381338164
4189,3.0,8.0,0.00038221384675104635
2407,4.0,3.0,0.0003812711386716338
2815,1.0,1.0,0.0003804000756994764
2683,2.0,2.0,0.0003802829717452771
5979,2.0,4.0,0.0003802703644884579
3313,9.0,7.0,0.0003801111543318696
3925,9.0,1.0,0.0003797417823308085
1761,4.0,5.0,0.0003796468338098152
4984,2.0,3.0,0.0003791947555273037
476,1.0,4.0,0.0003790903485346111
466,3.0,5.0,0.0003788215044238859
4279,2.0,2.0,0.00037881123596246035
1220,4.0,5.0,0.0003788053107066509
4356,5.0,2.0,0.0003760189016876214
2560,3.0,3.0,0.00037436244045591945
5267,3.0,2.0,0.00037412139497972535
5959,9.0,1.0,0.00037410980708498106
3703,3.0,1.0,0.0003732440082812476
3236,6.0,3.0,0.0003730062458420945
2810,1.0,2.0,0.0003723942123939094
710,5.0,4.0,0.0003720498768429158
3923,1.0,5.0,0.00037154052638990433
4046,7.0,5.0,0.00037150751507448494
2068,3.0,2.0,0.00037142307968507154
3166,3.0,4.0,0.0003703337227724987
1941,4.0,1.0,0.0003701480554773087
3422,7.0,6.0,0.00037004140995521435
4013,6.0,6.0,0.0003700126263909511
355,6.0,3.0,0.0003694047761079465
438,8.0,10.0,0.0003689936738642458
3179,3.0,4.0,0.00036884972638771656
5413,3.0,6.0,0.0003686905488197436
2152,5.0,3.0,0.0003683432522261219
6558,4.0,4.0,0.00036803397105613457
5405,4.0,5.0,0.0003678764484494609
